pillar,subsection_ref,title,pillar_weight,subsection_weight
,,SECTION A: GENERAL INFORMATION,0,0
A,A.1,Information On Asset/Entity To Be Assessed,0,0
A,A.2,Further Entities Involved,0,0
A,A.3,High-level asset type classification,0,0
A,A.4,Risk Type Classification,0,0
A,A.5,Credit Facility Details,0,0
,,PILLAR I: ASSET & COLLATERAL ASSESSMENT,40,0
,,THE ASSET,0,0
1,1.A,Asset Composition & Eligibility,0,8
1,1.B,Asset Cashflow Structure,0,7
1,1.C,Asset Liquidity Analysis,0,8
1,1.D,Asset: Basel III-Aligned Risk Weight Self-Classification,0,5
1,1.E,Asset Valuation Sources & Infrastructure,0,7
1,1.F,"Asset pricing, valuation and risk assessment proxies",0,6
,,THE COLLATERAL,0,0
1,1.G,Collateral Issuer Analysis,0,7
1,1.H,Collateral Asset Valuation & Loss Analysis,0,9
1,1.J,Collateral Liquidity Analysis,0,8
1,1.K,Collateral: Basel III-Aligned Risk Weight Self-Classification,0,5
1,1.L,Collateral Valuation Sources & Infrastructure,0,7
1,1.M,"Collateral pricing, valuation and risk assessment proxies",0,6
,,PILLAR II: ASSET CONTROL & SAFEKEEPING,20,0
2,2.A,Recoverability & Custody,0,9
2,2.B,SPV & Bankruptcy Remoteness/Funds Segregation,0,10
2,2.C,Lien Perfection & Enforcement,0,9
2,2.D,Legal Framework,0,7
2,2.E,Representations & Warranties,0,6
2,2.F,Cash Control Infrastructure,0,8
,,PILLAR III: COUNTERPARTY ASSESSMENT,10,0
3,3.A,Financial Strength & Capitalization,0,8
3,3.B,Regulatory & Licensing,0,6
3,3.C,Operational Track Record,0,7
3,3.D,Reputation & Leadership,0,4
3,3.E,"Insurance, Guarantees & Alignment",0,7
,,PILLAR IV: TRANSACTION STRUCTURE & MECHANICS,20,0
4,4.A,Transaction Structure Snapshot,0,6
4,4.B,Credit Enhancement & Loss Absorption,0,10
4,4.C,Surveillance Triggers & Structural Response,0,8
4,4.D,Waterfall & Payment Priority,0,9
4,4.E,Facility Terms & Optionality,0,7
4,4.F,"Refinance, Takeout & Run-Off",0,7
,,PILLAR V: MANAGEMENT & OPERATIONS,10,0
5,5.A,Entity & Process Scoping,0,5
5,5.B,Transaction Data & Systems Integrity,0,7
5,5.C,Underwriting & Origination Process,0,8
5,5.D,Servicing & Entity Financial Health,0,8
5,5.E,Ongoing Monitoring & Surveillance,0,7
5,5.F,Regulatory Compliance,0,6
,,SECTION F: OVERALL ASSESSMENT & DECLARATIONS,0,0
F,F.1,Ongoing Monitoring Commitments,0,0
F,F.2,Review Triggers,0,0
F,F.3,Declarations & Attestations,0,0
F,F.4,Authorized Signatures,0,0
